33041340	33019472	33026296,
33041345	33020063	33034181,
33041346	33019640	33034181,
33041347	33019463	33024658,
33041348	33018988	33024658,
33041349	33018983	33024658,
33041350	33018965	33029407,
33041351	33019845	33030248,
33041353	33019650	33033704,
33041354	33018857	33033704,
33041355	33020133	33021494,
33041356	33019570	33027042,
33041357	33019569	33027042,
33041360	33019402	33021634,
33041361	33019906	33023615,
33041362	33020245	33022205,
33041363	33019245	33020340,
33041364	33019239	33020340,
33041365	33019088	33020340,
33041366	33019051	33020340,
33041367	33018947	33020340,
33041368	33020110	33026511,
33041369	33019937	33026511,
33041370	33019405	33026511,
33041375	33019656	33020984,
33041376	33019634	33020334,
33041377	33020187	33020873,
33041380	33019804	33024853,
33041381	33019723	33020302,
33041382	33018829	33024161,
33041383	33019409	33021263,
33041385	33020114	33020959,
33041386	33020112	33020959,
33041388	33019788	33020383,
33041394	33020195	33021428,
33041395	33019997	33021428,
33041396	33019975	33021428,
33041397	33019838	33021428,
33041398	33018864	33021428,
33041399	33018788	33021428,
33041400	33019099	33031185,
33041401	33019097	33031185,
33041402	33019092	33031185,
33041403	33019618	33022450,
33041404	33019617	33022450,
33041405	33019615	33022450,
33041406	33019613	33022450,
33041407	33019612	33022450,
33041411	33019498	33026956,
33041415	33019325	33021249,
33041416	33019644	33031559,
33041418	33019672	33025139,
33041419	33018810	33031704,
33041430	33020052	33021921,
33041431	33019497	33021921,
33041433	33018798	33028184,
33041435	33018918	33030836,
33041440	33019053	33031713,
33041441	33019511	33020294,
33041442	33019502	33020294,
33041448	33020169	33020485,
33041451	33019161	33031443,
33041453	33019811	33023417,
33041466	33019922	33021155,
33041467	33019361	33021155,
33041476	33019110	33023142,
33041478	33019174	33030952,
33041479	33019177	33021976,
33041481	33019894	33022426,
33041482	33018863	33024743,
33041483	33018805	33024743,
33041484	33018793	33024743,
33041487	33020248	33020630,
33041488	33020047	33020630,
33041489	33019393	33020630,
33041496	33019528	33020826,
33041498	33019391	33031443,
33041501	33019705	33030984,
33041503	33019786	33022147,
33041504	33019224	33022147,
33041506	33019189	33020463,
33041507	33019184	33020463,
33041510	33019782	33031539,
33041511	33019254	33033017,
33041515	33020025	33020892,
33041516	33019305	33020892,
33041517	33019718	33026168,
33041518	33018973	33026168,
33041519	33018870	33026168,
33041520	33018865	33026168,
33041521	33020193	33023970,
33041522	33020161	33023970,
33041523	33019237	33024780,
33041524	33020049	33022706,
33041528	33019783	33021638,
33041529	33019215	33021638,
33041530	33019180	33022183,
33041532	33018813	33020906,
33041538	33018971	33031661,
33041539	33018969	33031661,
33041540	33020012	33021049,
33041541	33019122	33021049,
33041552	33020050	33020292,
33041553	33019523	33020292,
33041554	33019446	33020292,
33041555	33020225	33025598,
33041556	33019719	33025598,
33041565	33018976	33020763,
33041596	33019475	33030891,
33041597	33020220	33024883,
33041600	33019319	33024574,
33041601	33018915	33022127,
33041602	33018914	33022127,
33041607	33020041	33023583,
33041608	33019367	33023583,
33041610	33020081	33020595,
33041611	33019720	33025497,
33041612	33019694	33025273,
33041613	33018963	33033131,
33041617	33019109	33025033,
33041618	33018673	33025033,
33041619	33020264	33023608,
33041620	33019406	33021417,
33041621	33019334	33021417,
33041622	33019270	33021417,
33041623	33019225	33021417,
33041624	33019083	33021417,
33041625	33019067	33021417,
33041626	33018997	33021417,
33041627	33018878	33021417,
33041628	33019836	33020538,
33041629	33018851	33020538,
33041630	33018837	33020538,
33041633	33020115	33022645,
33041642	33019860	33022956,
33041643	33018998	33022956,
33041644	33018889	33022956,
33041649	33019462	33023333,
33041650	33020082	33021061,
33041651	33018994	33021061,
33041652	33019916	33021509,
33041653	33019603	33034493,
33041654	33019602	33034493,
33041655	33019303	33034493,
33041656	33018698	33034493,
33041658	33020268	33020818,
33041659	33019887	33020818,
33041660	33019746	33020818,
33041661	33019324	33020818,
33041668	33018759	33020463,
33041681	33019611	33021067,
33041683	33019130	33021290,
33041684	33019493	33020850,
33041690	33018952	33023554,
33041691	33018777	33023554,
33041692	33018776	33023554,
33041693	33019651	33025164,
33041697	33019623	33021946,
33041698	33019489	33021946,
33041699	33019889	33023280,
33041715	33019374	33025011,
33041726	33019480	33030442,
33041727	33020143	33024984,
33041730	33019251	33020898,
33041731	33019248	33020898,
33041732	33019751	33030821,
33041733	33019168	33030821,
33041734	33019089	33030821,
33041735	33018968	33030821,
33041736	33019522	33033788,
33041738	33018761	33021614,
