"timepoint"	"id"	"channel"	"np"	"peakArea"
"127"	9	"pep32338205_rep2"	2	0	NA
"128"	9	"pep32338205_rep3"	2	0	NA
"129"	9	"pep32338205_rep4"	2	0	NA
"130"	9	"pep32338205_rep5"	2	0	NA
"131"	9	"pep32338205_rep1"	3	0	NA
"132"	9	"pep32338205_rep2"	3	0	NA
"133"	9	"pep32338205_rep3"	3	0	NA
"134"	9	"pep32338205_rep4"	3	0	NA
"135"	9	"pep32338205_rep5"	3	0	NA
"136"	10	"pep32338205_rep1"	1	0	NA
"137"	10	"pep32338205_rep2"	1	0	NA
"138"	10	"pep32338205_rep3"	1	0	NA
"139"	10	"pep32338205_rep4"	1	0	NA
"140"	10	"pep32338205_rep5"	1	0	NA
"141"	10	"pep32338205_rep1"	2	0	NA
"142"	10	"pep32338205_rep2"	2	0	NA
"143"	10	"pep32338205_rep3"	2	0	NA
"144"	10	"pep32338205_rep4"	2	0	NA
"145"	10	"pep32338205_rep5"	2	0	NA
"146"	10	"pep32338205_rep1"	3	0	NA
"147"	10	"pep32338205_rep2"	3	0	NA
"148"	10	"pep32338205_rep3"	3	0	NA
"149"	10	"pep32338205_rep4"	3	0	NA
"150"	10	"pep32338205_rep5"	3	0	NA
"151"	11	"pep32338205_rep1"	1	0	NA
"152"	11	"pep32338205_rep2"	1	0	NA
"153"	11	"pep32338205_rep3"	1	0	NA
"154"	11	"pep32338205_rep4"	1	0	NA
"155"	11	"pep32338205_rep5"	1	0	NA
"156"	11	"pep32338205_rep1"	2	0	NA
"157"	11	"pep32338205_rep2"	2	0	NA
"158"	11	"pep32338205_rep3"	2	0	NA
"159"	11	"pep32338205_rep4"	2	0	NA
"160"	11	"pep32338205_rep5"	2	0	NA
"161"	11	"pep32338205_rep1"	3	0	NA
"162"	11	"pep32338205_rep2"	3	0	NA
"163"	11	"pep32338205_rep3"	3	0	NA
"164"	11	"pep32338205_rep4"	3	0	NA
"165"	11	"pep32338205_rep5"	3	0	NA
"166"	12	"pep32338205_rep1"	1	0	NA
"167"	12	"pep32338205_rep2"	1	0	NA
"168"	12	"pep32338205_rep3"	1	0	NA
"169"	12	"pep32338205_rep4"	1	0	NA
"170"	12	"pep32338205_rep5"	1	0	NA
"171"	12	"pep32338205_rep1"	2	0	NA
"172"	12	"pep32338205_rep2"	2	0	NA
"173"	12	"pep32338205_rep3"	2	0	NA
"174"	12	"pep32338205_rep4"	2	0	NA
"175"	12	"pep32338205_rep5"	2	0	NA
"176"	12	"pep32338205_rep1"	3	0	NA
"177"	12	"pep32338205_rep2"	3	0	NA
"178"	12	"pep32338205_rep3"	3	0	NA
"179"	12	"pep32338205_rep4"	3	0	NA
"180"	12	"pep32338205_rep5"	3	0	NA
"181"	1	"pep32338181_rep1"	1	0	148746
"182"	1	"pep32338181_rep2"	1	0	329315
"183"	1	"pep32338181_rep3"	1	0	211031
"184"	1	"pep32338181_rep4"	1	0	411199
"185"	1	"pep32338181_rep5"	1	0	247370
"186"	1	"pep32338181_rep1"	2	0	531035
"187"	1	"pep32338181_rep2"	2	0	257492
"188"	1	"pep32338181_rep3"	2	0	NA
"189"	1	"pep32338181_rep4"	2	0	552120
"190"	1	"pep32338181_rep5"	2	0	NA
"191"	1	"pep32338181_rep1"	3	0	NA
"192"	1	"pep32338181_rep2"	3	0	NA
"193"	1	"pep32338181_rep3"	3	0	NA
"194"	1	"pep32338181_rep4"	3	0	NA
"195"	1	"pep32338181_rep5"	3	0	NA
"196"	2	"pep32338181_rep1"	1	0	321218
"197"	2	"pep32338181_rep2"	1	0	606536
"198"	2	"pep32338181_rep3"	1	0	285163
"199"	2	"pep32338181_rep4"	1	0	849140
"200"	2	"pep32338181_rep5"	1	0	438051
