id	channel	np	peakArea
pep32337295_rep1	1	0	3347587
pep32337295_rep1	1	1	54395017
pep32337295_rep1	1	1	9887806
pep32337295_rep1	1	1	4454795
pep32337295_rep2	1	0	3122379
pep32337295_rep2	1	1	70284180
pep32337295_rep2	1	1	9329839
pep32337295_rep2	1	1	2270506
pep32337295_rep3	1	0	6600999
pep32337295_rep3	1	1	111869121
pep32337295_rep3	1	1	9405776
pep32337295_rep3	1	1	1245792
pep32337295_rep4	1	0	5585239
pep32337295_rep4	1	1	79539501
pep32337295_rep4	1	1	9236715
pep32337295_rep4	1	1	1672582
pep32337295_rep5	1	0	5225048
pep32337295_rep5	1	1	107187086
pep32337295_rep5	1	1	10769529
pep32337295_rep5	1	1	1094099
pep32337295_rep1	2	0	4869310
pep32337295_rep1	2	1	93838912
pep32337295_rep1	2	1	10606925
pep32337295_rep1	2	1	1033659
pep32337295_rep2	2	0	6952827
pep32337295_rep2	2	1	85799993
pep32337295_rep2	2	1	9920834
pep32337295_rep2	2	1	877098
pep32337295_rep4	2	0	6088820
pep32337295_rep4	2	1	63771369
pep32337295_rep4	2	1	9878158
pep32337295_rep4	2	1	587686
