id	channel	np	peakArea
pep32337570_rep1	1	0	4423997
pep32337570_rep1	1	1	213885753
pep32337570_rep1	1	1	427240
pep32337570_rep1	1	1	18517033
pep32337570_rep2	1	0	3246986
pep32337570_rep2	1	1	1718291
pep32337570_rep2	1	1	990216
pep32337570_rep3	1	0	3729010
pep32337570_rep3	1	1	195872329
pep32337570_rep3	1	1	1371576
pep32337570_rep3	1	1	26157543
pep32337570_rep4	1	0	3031618
pep32337570_rep4	1	1	201235840
pep32337570_rep4	1	1	446609
pep32337570_rep5	1	0	6316319
pep32337570_rep5	1	1	220713365
pep32337570_rep5	1	1	2586071
pep32337570_rep5	1	1	17637225
pep32337570_rep1	2	0	1923079
pep32337570_rep1	2	1	216464022
pep32337570_rep1	2	1	1250140
pep32337570_rep1	2	1	38843
pep32337570_rep2	2	0	9750142
pep32337570_rep2	2	1	206347542
pep32337570_rep2	2	1	7740
pep32337570_rep2	2	1	16624764
pep32337570_rep4	2	0	1813469
pep32337570_rep4	2	1	217547186
pep32337570_rep4	2	1	199252
