id	channel	np	peakArea
pep32337570_rep1	1	0	10336490
pep32337570_rep1	1	1	520042
pep32337570_rep1	1	1	57384
pep32337570_rep1	1	1	19758150
pep32337570_rep2	1	0	2593625
pep32337570_rep2	1	1	8474288
pep32337570_rep2	1	1	59604
pep32337570_rep2	1	1	111806
pep32337570_rep3	1	0	5384343
pep32337570_rep3	1	1	213359322
pep32337570_rep3	1	1	515023
pep32337570_rep3	1	1	34388134
pep32337570_rep4	1	0	1874171
pep32337570_rep4	1	1	245965380
pep32337570_rep4	1	1	180670
pep32337570_rep5	1	0	7645732
pep32337570_rep5	1	1	201895539
pep32337570_rep5	1	1	1471224
pep32337570_rep5	1	1	53546273
pep32337570_rep1	2	0	3401544
pep32337570_rep1	2	1	207928224
pep32337570_rep1	2	1	1272838
pep32337570_rep2	2	0	6615956
pep32337570_rep2	2	1	193692973
pep32337570_rep2	2	1	22072
pep32337570_rep2	2	1	45641394
pep32337570_rep4	2	0	3198399
pep32337570_rep4	2	1	210058389
pep32337570_rep4	2	1	58753
pep32337570_rep4	2	1	71521
