id	channel	np	peakArea
pep32337295_rep1	1	0	10458639
pep32337295_rep1	1	1	47612858
pep32337295_rep1	1	1	15732831
pep32337295_rep2	1	0	9508873
pep32337295_rep2	1	1	68806950
pep32337295_rep2	1	1	15250738
pep32337295_rep2	1	1	4237281
pep32337295_rep3	1	0	7330502
pep32337295_rep3	1	1	150022871
pep32337295_rep3	1	1	13287742
pep32337295_rep3	1	1	2496394
pep32337295_rep4	1	0	6156410
pep32337295_rep4	1	1	118709480
pep32337295_rep4	1	1	14942540
pep32337295_rep4	1	1	3775895
pep32337295_rep5	1	0	8579814
pep32337295_rep5	1	1	124318282
pep32337295_rep5	1	1	13935005
pep32337295_rep5	1	1	3728569
pep32337295_rep1	2	0	7298873
pep32337295_rep1	2	1	92730057
pep32337295_rep1	2	1	16595993
pep32337295_rep1	2	1	3718665
pep32337295_rep2	2	0	8805735
pep32337295_rep2	2	1	152835322
pep32337295_rep2	2	1	12544859
pep32337295_rep4	2	0	7065946
pep32337295_rep4	2	1	119381239
pep32337295_rep4	2	1	15930230
pep32337295_rep4	2	1	1086024
