id	channel	np	peakArea
pep32337128_rep1	1	0	5380064
pep32337128_rep1	1	1	3322581
pep32337128_rep1	1	1	177324
pep32337128_rep2	1	0	6948091
pep32337128_rep2	1	1	177000397
pep32337128_rep2	1	1	4293588
pep32337128_rep3	1	0	4172460
pep32337128_rep3	1	1	1737689
pep32337128_rep3	1	1	68672878
pep32337128_rep3	1	1	2265606
pep32337128_rep4	1	0	6809539
pep32337128_rep4	1	1	1737689
pep32337128_rep4	1	1	71660274
pep32337128_rep4	1	1	7254825
pep32337128_rep5	1	0	4187916
pep32337128_rep5	1	1	2388298
pep32337128_rep5	1	1	6971913
pep32337128_rep5	1	1	44328655
pep32337128_rep1	2	0	5717912
pep32337128_rep1	2	1	2388298
pep32337128_rep1	2	1	56796576
pep32337128_rep1	2	1	46235866
pep32337128_rep2	2	0	2886273
pep32337128_rep2	2	1	4025114
pep32337128_rep2	2	1	83874978
pep32337128_rep2	2	1	30390255
pep32337128_rep4	2	0	5001918
pep32337128_rep4	2	1	4025114
pep32337128_rep4	2	1	109787460
pep32337128_rep4	2	1	8519166
