id	channel	np	peakArea
pep32337186_rep1	1	0	205977127
pep32337186_rep1	1	1	57384
pep32337186_rep1	1	1	63540782
pep32337186_rep1	1	1	522710
pep32337186_rep2	1	0	245952854
pep32337186_rep2	1	1	20533
pep32337186_rep2	1	1	62749620
pep32337186_rep2	1	1	502319
pep32337186_rep3	1	0	193330203
pep32337186_rep3	1	1	504273
pep32337186_rep3	1	1	93393543
pep32337186_rep3	1	1	15434
pep32337186_rep4	1	0	223599018
pep32337186_rep4	1	1	180670
pep32337186_rep4	1	1	85585266
pep32337186_rep5	1	0	205952814
pep32337186_rep5	1	1	1468203
pep32337186_rep5	1	1	125196896
pep32337186_rep1	2	0	231777237
pep32337186_rep1	2	1	1265326
pep32337186_rep1	2	1	112925937
pep32337186_rep2	2	0	203697657
pep32337186_rep2	2	1	22072
pep32337186_rep2	2	1	120742664
pep32337186_rep4	2	0	234176391
pep32337186_rep4	2	1	58753
pep32337186_rep4	2	1	137023893
pep32337186_rep4	2	1	5163
