id	channel	np	peakArea
pep32336332_rep1	1	0	5472251
pep32336332_rep1	1	1	5725220
pep32336332_rep1	1	1	7758312
pep32336332_rep2	1	0	5356096
pep32336332_rep2	1	1	2358968
pep32336332_rep2	1	1	9266296
pep32336332_rep3	1	0	7406269
pep32336332_rep3	1	1	2642788
pep32336332_rep3	1	1	23534079
pep32336332_rep4	1	0	5505255
pep32336332_rep4	1	1	2476743
pep32336332_rep4	1	1	22936741
pep32336332_rep5	1	0	6004416
pep32336332_rep5	1	1	23966472
pep32336332_rep5	1	1	23464686
pep32336332_rep1	2	0	5109820
pep32336332_rep1	2	1	19438729
pep32336332_rep1	2	1	17591717
pep32336332_rep2	2	0	5198618
pep32336332_rep2	2	1	15833458
pep32336332_rep2	2	1	16015819
pep32336332_rep4	2	0	4596741
pep32336332_rep4	2	1	15538353
