id	channel	np	peakArea
pep32338208_rep1	1	0	701289
pep32338208_rep1	1	1	213718479
pep32338208_rep1	1	1	9887806
pep32338208_rep1	1	1	54122781
pep32338208_rep2	1	0	1005966
pep32338208_rep2	1	1	226800579
pep32338208_rep2	1	1	9329839
pep32338208_rep2	1	1	70284180
pep32338208_rep3	1	0	2703667
pep32338208_rep3	1	1	196036949
pep32338208_rep3	1	1	9405776
pep32338208_rep3	1	1	113251161
pep32338208_rep4	1	0	2029320
pep32338208_rep4	1	1	201164852
pep32338208_rep4	1	1	9236715
pep32338208_rep4	1	1	79048261
pep32338208_rep5	1	0	6331889
pep32338208_rep5	1	1	220659515
pep32338208_rep5	1	1	10769529
pep32338208_rep5	1	1	109192748
pep32338208_rep1	2	0	2479638
pep32338208_rep1	2	1	215997869
pep32338208_rep1	2	1	10606925
pep32338208_rep1	2	1	93838912
pep32338208_rep2	2	0	2923293
pep32338208_rep2	2	1	207137964
pep32338208_rep2	2	1	9920834
pep32338208_rep2	2	1	78071888
pep32338208_rep4	2	0	5301461
pep32338208_rep4	2	1	219591513
pep32338208_rep4	2	1	9878158
pep32338208_rep4	2	1	43683996
