id	channel	np	peakArea
pep32336332_rep1	1	0	7997594
pep32336332_rep1	1	1	4175482
pep32336332_rep1	1	1	4175482
pep32336332_rep2	1	0	7075073
pep32336332_rep2	1	1	5626525
pep32336332_rep2	1	1	3883388
pep32336332_rep3	1	0	8733494
pep32336332_rep3	1	1	28614876
pep32336332_rep3	1	1	31072455
pep32336332_rep4	1	0	5811393
pep32336332_rep4	1	1	32009927
pep32336332_rep4	1	1	32388677
pep32336332_rep5	1	0	8762369
pep32336332_rep5	1	1	56465581
pep32336332_rep5	1	1	57230645
pep32336332_rep1	2	0	6171924
pep32336332_rep1	2	1	60271504
pep32336332_rep1	2	1	60271504
pep32336332_rep2	2	0	6398176
pep32336332_rep2	2	1	40234069
pep32336332_rep2	2	1	40318158
pep32336332_rep4	2	0	6715005
pep32336332_rep4	2	1	44259245
pep32336332_rep4	2	1	45331047
