id	channel	np	peakArea
pep32338205_rep1	1	0	1729755
pep32338205_rep1	1	1	17766757
pep32338205_rep1	1	1	7214763
pep32338205_rep1	1	1	90655852
pep32338205_rep2	1	0	658076
pep32338205_rep2	1	1	7214763
pep32338205_rep2	1	1	2338198
pep32338205_rep3	1	0	522098
pep32338205_rep3	1	1	24778463
pep32338205_rep3	1	1	25807547
pep32338205_rep3	1	1	196426435
pep32338205_rep4	1	0	236739
pep32338205_rep4	1	1	25807547
pep32338205_rep4	1	1	25100055
pep32338205_rep4	1	1	16725483
pep32338205_rep5	1	0	749462
pep32338205_rep5	1	1	27039282
pep32338205_rep5	1	1	29327124
pep32338205_rep5	1	1	259770092
pep32338205_rep1	2	0	906375
pep32338205_rep1	2	1	29450571
pep32338205_rep1	2	1	2312200
pep32338205_rep1	2	1	23299959
pep32338205_rep2	2	0	673169
pep32338205_rep2	2	1	27518096
pep32338205_rep2	2	1	31333354
pep32338205_rep2	2	1	223031172
pep32338205_rep4	2	0	875040
pep32338205_rep4	2	1	31333354
pep32338205_rep4	2	1	2777961
pep32338205_rep4	2	1	19738002
