id	channel	np	peakArea
pep32338181_rep1	1	0	148746
pep32338181_rep1	1	1	21005713
pep32338181_rep1	1	1	129736916
pep32338181_rep1	1	1	146424009
pep32338181_rep2	1	0	329315
pep32338181_rep2	1	1	18517033
pep32338181_rep2	1	1	119047434
pep32338181_rep2	1	1	123523486
pep32338181_rep3	1	0	211031
pep32338181_rep3	1	1	28189107
pep32338181_rep3	1	1	168867093
pep32338181_rep3	1	1	184359966
pep32338181_rep4	1	0	411199
pep32338181_rep4	1	1	26157543
pep32338181_rep4	1	1	152671321
pep32338181_rep4	1	1	191269260
pep32338181_rep5	1	0	247370
pep32338181_rep5	1	1	19956107
pep32338181_rep5	1	1	138312864
pep32338181_rep5	1	1	146467161
pep32338181_rep1	2	0	531035
pep32338181_rep1	2	1	17637225
pep32338181_rep1	2	1	126728045
pep32338181_rep1	2	1	138463531
pep32338181_rep2	2	0	257492
pep32338181_rep2	2	1	17781715
pep32338181_rep2	2	1	127027064
pep32338181_rep2	2	1	139179036
pep32338181_rep4	2	0	552120
pep32338181_rep4	2	1	16624764
pep32338181_rep4	2	1	120395161
pep32338181_rep4	2	1	138810050
