id	channel	np	peakArea
pep32338205_rep1	1	0	559513
pep32338205_rep1	1	1	25908940
pep32338205_rep1	1	1	28817544
pep32338205_rep1	1	1	119020932
pep32338205_rep2	1	0	677248
pep32338205_rep2	1	1	28624265
pep32338205_rep2	1	1	22712719
pep32338205_rep2	1	1	254772
pep32338205_rep3	1	0	505981
pep32338205_rep3	1	1	22146246
pep32338205_rep3	1	1	22780361
pep32338205_rep3	1	1	152671321
pep32338205_rep4	1	0	721200
pep32338205_rep4	1	1	22780361
pep32338205_rep4	1	1	238538
pep32338205_rep4	1	1	10198499
pep32338205_rep5	1	0	1033460
pep32338205_rep5	1	1	22371278
pep32338205_rep5	1	1	20902859
pep32338205_rep5	1	1	126728045
pep32338205_rep1	2	0	1035334
pep32338205_rep1	2	1	21048719
pep32338205_rep1	2	1	2120076
pep32338205_rep1	2	1	7999818
pep32338205_rep2	2	0	663018
pep32338205_rep2	2	1	23521236
pep32338205_rep2	2	1	21360703
pep32338205_rep2	2	1	27461
pep32338205_rep4	2	0	631231
pep32338205_rep4	2	1	25668852
pep32338205_rep4	2	1	24786085
pep32338205_rep4	2	1	12018036
