id	channel	np	peakArea
pep32337923_rep1	1	0	17190
pep32337923_rep1	1	1	146212608
pep32337923_rep1	1	1	60989212
pep32337923_rep2	1	0	49881
pep32337923_rep2	1	1	123545668
pep32337923_rep2	1	1	346333136
pep32337923_rep3	1	0	23504
pep32337923_rep3	1	1	184332924
pep32337923_rep3	1	1	72303634
pep32337923_rep4	1	0	23415
pep32337923_rep4	1	1	191656954
pep32337923_rep4	1	1	82455868
pep32337923_rep5	1	0	5031668
pep32337923_rep5	1	1	146470203
pep32337923_rep5	1	1	65912178
pep32337923_rep1	2	0	7415766
pep32337923_rep1	2	1	138477923
pep32337923_rep1	2	1	76773684
pep32337923_rep2	2	0	6724643
pep32337923_rep2	2	1	138993702
pep32337923_rep2	2	1	71716522
pep32337923_rep4	2	0	5895261
pep32337923_rep4	2	1	138810050
pep32337923_rep4	2	1	82258105
