id	channel	np	peakArea
pep32337128_rep1	1	0	146354
pep32337128_rep1	1	1	9051
pep32337128_rep1	1	1	57084129
pep32337128_rep1	1	1	12814096
pep32337128_rep2	1	0	273924
pep32337128_rep2	1	1	9051
pep32337128_rep2	1	1	52570749
pep32337128_rep2	1	1	13581202
pep32337128_rep3	1	0	666652
pep32337128_rep3	1	1	71432
pep32337128_rep3	1	1	4168984
pep32337128_rep3	1	1	5609548
pep32337128_rep4	1	0	274038
pep32337128_rep4	1	1	71432
pep32337128_rep4	1	1	363702306
pep32337128_rep4	1	1	7846990
pep32337128_rep5	1	0	1805706
pep32337128_rep5	1	1	696345
pep32337128_rep5	1	1	2602604
pep32337128_rep5	1	1	9248293
pep32337128_rep1	2	0	1388155
pep32337128_rep1	2	1	696345
pep32337128_rep1	2	1	2929219
pep32337128_rep1	2	1	9687561
pep32337128_rep2	2	0	1416175
pep32337128_rep2	2	1	157195
pep32337128_rep2	2	1	5154468
pep32337128_rep2	2	1	16116463
pep32337128_rep4	2	0	1329060
pep32337128_rep4	2	1	157195
pep32337128_rep4	2	1	16150586
pep32337128_rep4	2	1	17719230
