id	channel	np	peakArea
pep32337858_rep1	1	0	106260
pep32337858_rep1	1	1	55320182
pep32337858_rep1	1	1	208514202
pep32337858_rep3	1	0	244292
pep32337858_rep3	1	1	55326140
pep32337858_rep3	1	1	191334918
pep32337858_rep4	1	0	190498
pep32337858_rep4	1	1	59706674
pep32337858_rep4	1	1	196895583
pep32337858_rep5	1	0	3813772
pep32337858_rep5	1	1	66150437
pep32337858_rep5	1	1	210913174
pep32337858_rep1	2	0	2690836
pep32337858_rep1	2	1	4319364
pep32337858_rep1	2	1	220242725
pep32337858_rep2	2	0	6729366
pep32337858_rep2	2	1	57074812
pep32337858_rep2	2	1	185503566
pep32337858_rep4	2	0	2313234
pep32337858_rep4	2	1	58004276
pep32337858_rep4	2	1	202730001
