id	channel	np	peakArea
pep32337858_rep1	1	0	6338272
pep32337858_rep1	1	1	2523281
pep32337858_rep2	1	0	3639695
pep32337858_rep2	1	1	7695693
pep32337858_rep2	1	1	2118585
pep32337858_rep3	1	0	21430758
pep32337858_rep3	1	1	58997630
pep32337858_rep3	1	1	163485166
pep32337858_rep4	1	0	25650883
pep32337858_rep4	1	1	60007608
pep32337858_rep4	1	1	174233706
pep32337858_rep5	1	0	10233742
pep32337858_rep5	1	1	59038682
pep32337858_rep5	1	1	148570673
pep32337858_rep1	2	0	7786646
pep32337858_rep1	2	1	59296290
pep32337858_rep1	2	1	153975926
pep32337858_rep2	2	0	2708858
pep32337858_rep2	2	1	53214394
pep32337858_rep2	2	1	158042948
pep32337858_rep4	2	0	5878562
pep32337858_rep4	2	1	53542691
pep32337858_rep4	2	1	155722546
