id	channel	np	peakArea
pep32337923_rep1	1	0	39637
pep32337923_rep1	1	1	114514467
pep32337923_rep1	1	1	63540782
pep32337923_rep2	1	0	56439
pep32337923_rep2	1	1	89640128
pep32337923_rep2	1	1	68420660
pep32337923_rep3	1	0	85765
pep32337923_rep3	1	1	180890260
pep32337923_rep3	1	1	93393543
pep32337923_rep4	1	0	498205
pep32337923_rep4	1	1	176736337
pep32337923_rep4	1	1	84733781
pep32337923_rep5	1	0	39813
pep32337923_rep5	1	1	213103038
pep32337923_rep5	1	1	125196896
pep32337923_rep1	2	0	42717
pep32337923_rep1	2	1	211660277
pep32337923_rep1	2	1	112751505
pep32337923_rep2	2	0	149586
pep32337923_rep2	2	1	244638663
pep32337923_rep2	2	1	120742664
pep32337923_rep4	2	0	69810
pep32337923_rep4	2	1	243942258
pep32337923_rep4	2	1	129862962
