id	channel	np	peakArea
pep32338208_rep1	1	0	2792875
pep32338208_rep1	1	1	252930329
pep32338208_rep1	1	1	15732831
pep32338208_rep1	1	1	10032485
pep32338208_rep2	1	0	2065979
pep32338208_rep2	1	1	261153821
pep32338208_rep2	1	1	15250738
pep32338208_rep2	1	1	19476871
pep32338208_rep3	1	0	3535432
pep32338208_rep3	1	1	213359322
pep32338208_rep3	1	1	13287742
pep32338208_rep3	1	1	145418069
pep32338208_rep4	1	0	2819805
pep32338208_rep4	1	1	246724998
pep32338208_rep4	1	1	14942540
pep32338208_rep4	1	1	125123202
pep32338208_rep5	1	0	3086511
pep32338208_rep5	1	1	201895539
pep32338208_rep5	1	1	13935005
pep32338208_rep5	1	1	135752871
pep32338208_rep1	2	0	2229787
pep32338208_rep1	2	1	207962896
pep32338208_rep1	2	1	16595993
pep32338208_rep1	2	1	110620881
pep32338208_rep2	2	0	3514392
pep32338208_rep2	2	1	193692973
pep32338208_rep2	2	1	13553368
pep32338208_rep2	2	1	151987044
pep32338208_rep4	2	0	2801340
pep32338208_rep4	2	1	210058389
pep32338208_rep4	2	1	16208583
pep32338208_rep4	2	1	119381239
