fileNames	pVals	qVals
labelfree_df/sample32337445_timepoint3.txt	NA	NA
labelfree_df/sample32337445_timepoint4.txt	NA	NA
labelfree_df/sample32337887_timepoint1.txt	NA	NA
labelfree_df/sample32337887_timepoint2.txt	NA	NA
labelfree_df/sample32337887_timepoint3.txt	NA	NA
labelfree_df/sample32337887_timepoint4.txt	NA	NA
labelfree_df/sample32337097_timepoint1.txt	NA	NA
labelfree_df/sample32337097_timepoint2.txt	NA	NA
labelfree_df/sample32337097_timepoint3.txt	NA	NA
labelfree_df/sample32337097_timepoint4.txt	NA	NA
labelfree_df/sample32338110_timepoint1.txt	NA	NA
labelfree_df/sample32338110_timepoint2.txt	NA	NA
labelfree_df/sample32338110_timepoint3.txt	NA	NA
labelfree_df/sample32338110_timepoint4.txt	NA	NA
labelfree_df/sample32337325_timepoint1.txt	NA	NA
labelfree_df/sample32337325_timepoint2.txt	NA	NA
labelfree_df/sample32337325_timepoint3.txt	NA	NA
labelfree_df/sample32337325_timepoint4.txt	NA	NA
labelfree_df/sample32337730_timepoint1.txt	NA	NA
labelfree_df/sample32337730_timepoint2.txt	NA	NA
labelfree_df/sample32337730_timepoint3.txt	NA	NA
labelfree_df/sample32337730_timepoint4.txt	NA	NA
labelfree_df/sample32337832_timepoint1.txt	NA	NA
labelfree_df/sample32337832_timepoint2.txt	NA	NA
labelfree_df/sample32337832_timepoint3.txt	NA	NA
labelfree_df/sample32337832_timepoint4.txt	NA	NA
labelfree_df/sample32337603_timepoint1.txt	NA	NA
labelfree_df/sample32337603_timepoint2.txt	NA	NA
labelfree_df/sample32337603_timepoint3.txt	NA	NA
labelfree_df/sample32337603_timepoint4.txt	NA	NA
labelfree_df/sample32336453_timepoint1.txt	NA	NA
labelfree_df/sample32336453_timepoint2.txt	NA	NA
labelfree_df/sample32336453_timepoint3.txt	NA	NA
labelfree_df/sample32336453_timepoint4.txt	NA	NA
labelfree_df/sample32336604_timepoint1.txt	NA	NA
labelfree_df/sample32336604_timepoint2.txt	NA	NA
